,f,i,cats,mr,c,smp,srd,best
139,Ackley,200,50,0.3,2.0,20,0.8,1.525817131708962e-05
140,Ackley,200,50,0.3,2.0,40,0.1,2.61455191450137
141,Ackley,200,50,0.3,2.0,40,0.3,0.5338252786834059
142,Ackley,200,50,0.3,2.0,40,0.5,0.006903263957483308
143,Ackley,200,50,0.3,2.0,40,0.8,1.3804354605628788e-05
144,Ackley,200,50,0.3,3.0,5,0.1,2.857550901378499
145,Ackley,200,50,0.3,3.0,5,0.3,0.2807808458751144
146,Ackley,200,50,0.3,3.0,5,0.5,0.013587302694368919
147,Ackley,200,50,0.3,3.0,5,0.8,8.342452269305412e-05
148,Ackley,200,50,0.3,3.0,10,0.1,3.000905513231697
149,Ackley,200,50,0.3,3.0,10,0.3,0.5011266643812502
150,Ackley,200,50,0.3,3.0,10,0.5,0.0017222894163890778
151,Ackley,200,50,0.3,3.0,10,0.8,1.496737591866193e-05
152,Ackley,200,50,0.3,3.0,20,0.1,3.0565817750403004
153,Ackley,200,50,0.3,3.0,20,0.3,1.580912538476373
154,Ackley,200,50,0.3,3.0,20,0.5,0.017839423718314595
155,Ackley,200,50,0.3,3.0,20,0.8,2.2733323913559644e-05
156,Ackley,200,50,0.3,3.0,40,0.1,2.73550693276091
157,Ackley,200,50,0.3,3.0,40,0.3,0.6467576090282603
158,Ackley,200,50,0.3,3.0,40,0.5,0.054392213157619995
159,Ackley,200,50,0.3,3.0,40,0.8,5.638570478527782e-06
160,Ackley,200,50,0.6,0.5,5,0.1,1.9896136735018897
161,Ackley,200,50,0.6,0.5,5,0.3,0.07346797954951656
162,Ackley,200,50,0.6,0.5,5,0.5,0.0017213150189197002
163,Ackley,200,50,0.6,0.5,5,0.8,2.0406053526933476e-06
164,Ackley,200,50,0.6,0.5,10,0.1,1.0432418836356132
165,Ackley,200,50,0.6,0.5,10,0.3,0.054938101185748156
166,Ackley,200,50,0.6,0.5,10,0.5,0.0017626501811602857
167,Ackley,200,50,0.6,0.5,10,0.8,1.4088270074985587e-06
